"Democratic (23) 
  Republican (27)","Democratic (23) 
  Republican (27)","Democratic (23) 
  Republican (27)","Democratic (23) 
  Republican (27)","Democratic (23) 
  Republican (27)","Democratic (23) 
  Republican (27)","Democratic (23) 
  Republican (27)","Democratic (23) 
  Republican (27)","Democratic (23) 
  Republican (27)","Democratic (23) 
  Republican (27)","Democratic (23) 
  Republican (27)"
"State","Portrait","Governor","Party","Party","Born","Prior public experience","Inauguration","End of term","Past governors",NA
"Alabama","","Kay Ivey","","Republican","(1944-10-15) October 15, 1944 (age 76)","Lieutenant Governor, Treasurer","April 10, 2017","2023","List",NA
"Alaska","","Mike Dunleavy","","Republican","(1961-05-05) May 5, 1961 (age 60)","Alaska Senate","December 3, 2018","2022","List",NA
"Arizona","","Doug Ducey","","Republican","(1964-04-09) April 9, 1964 (age 57)","Treasurer","January 5, 2015","2023 (term limits)","List",NA
"Arkansas","","Asa Hutchinson","","Republican","(1950-12-03) December 3, 1950 (age 70)","Under Secretary of Homeland Security for Border & Transportation Security, Administrator of the Drug Enforcement Administration, U.S. House, U.S. Attorney","January 13, 2015","2023 (term limits)","List",NA
"California","","Gavin Newsom","","Democratic","(1967-10-10) October 10, 1967 (age 53)","Lieutenant Governor, Mayor of San Francisco","January 7, 2019","2023","List",NA
"Colorado","","Jared Polis","","Democratic","(1975-05-12) May 12, 1975 (age 46)","U.S. House, Colorado State Board of Education","January 8, 2019","2023","List",NA
"Connecticut","","Ned Lamont","","Democratic","(1954-01-03) January 3, 1954 (age 67)","Greenwich Selectman","January 9, 2019","2023","List",NA
"Delaware","","John Carney","","Democratic","(1956-05-20) May 20, 1956 (age 65)","U.S. House, Lieutenant Governor","January 17, 2017","2021","List",NA
"Florida","","Ron DeSantis","","Republican","(1978-09-14) September 14, 1978 (age 42)","U.S. House","January 8, 2019","2023","List",NA
"Georgia","","Brian Kemp","","Republican","(1963-11-02) November 2, 1963 (age 57)","Secretary of State, Georgia Senate","January 14, 2019","2023","List",NA
"Hawaii","","David Ige","","Democratic","(1957-01-15) January 15, 1957 (age 64)","Hawaii Senate, Hawaii House","December 1, 2014","2022 (term limits)","List",NA
"Idaho","","Brad Little","","Republican","(1954-02-15) February 15, 1954 (age 67)","Lieutenant Governor, Idaho Senate","January 7, 2019","2023","List",NA
"Illinois","","J. B. Pritzker","","Democratic","(1965-01-19) January 19, 1965 (age 56)","No prior public experience","January 14, 2019","2023","List",NA
"Indiana","","Eric Holcomb","","Republican","(1968-05-02) May 2, 1968 (age 53)","Lieutenant Governor, Chief of Staff to Senator Dan Coats, Chair of the Indiana Republican Party, Deputy Chief of Staff to the Governor of Indiana","January 9, 2017","2021","List",NA
"Iowa","","Kim Reynolds","","Republican","(1959-08-04) August 4, 1959 (age 61)","Lieutenant Governor, Iowa Senate","May 24, 2017","2023","List",NA
"Kansas","","Laura Kelly","","Democratic","(1950-01-24) January 24, 1950 (age 71)","Kansas Senate","January 14, 2019","2023","List",NA
"Kentucky","","Andy Beshear","","Democratic","(1977-11-29) November 29, 1977 (age 43)","Attorney General","December 10, 2019","2023","List",NA
"Louisiana","","John Bel Edwards","","Democratic","(1966-09-16) September 16, 1966 (age 54)","Minority Leader of the Louisiana House","January 11, 2016","2024 (term limits)","List",NA
"Maine","","Janet Mills","","Democratic","(1947-12-30) December 30, 1947 (age 73)","Attorney General, Maine House","January 2, 2019","2023","List",NA
"Maryland","","Larry Hogan","","Republican","(1956-05-25) May 25, 1956 (age 65)","Secretary of Appointments","January 21, 2015","2023 (term limits)","List",NA
"Massachusetts","","Charlie Baker","","Republican","(1956-11-13) November 13, 1956 (age 64)","Swampscott Selectman, Secretary of Administration and Finance,Secretary of Health and Human Services","January 8, 2015","2023","List",NA
"Michigan","","Gretchen Whitmer","","Democratic","(1971-08-23) August 23, 1971 (age 49)","Michigan Senate, Michigan House","January 1, 2019","2023","List",NA
"Minnesota","","Tim Walz","","Democratic–Farmer–Labor","(1964-04-06) April 6, 1964 (age 57)","U.S. House","January 7, 2019","2023","List",NA
"Mississippi","","Tate Reeves","","Republican","(1974-06-05) June 5, 1974 (age 47)","Lieutenant Governor, Treasurer","January 14, 2020","2024","List",NA
"Missouri","","Mike Parson","","Republican","(1955-09-17) September 17, 1955 (age 65)","Lieutenant Governor, Missouri Senate, Missouri House, Sheriff of Polk County","June 1, 2018","2021","List",NA
